4 0.021s
16 0.025s
64 0.019s
512 0.038s
1024 0.061s
4096 0.143s
16384 0.319s
65536 0.906s
262144 3.368s
1048576	15.029s
4194304 64.106s
16777216 261.602s
67108864 1160.248s
268435456 killed
1073741824 killed

4 0.001s
16 0.001s
64 0.001s
512 0.001s
1024 0.014s
4096 0.0231s
16384 3.582s
65536 58.032s
262144 1020.071s    

4 0.001s
16 0.001s
64 0.001s
512 0.004s
1024 0.008s
4096 0.074s
16384 1.411s
65536 35.121s
